Time_hours,Stem_cells,Buffer_cells,Producer_cells,Cumulative_yield
13.357357357357357,147321162.3340984,21851058.45048962,830649229.1981122,4024.6689988834296
13.405405405405405,146229306.64547747,21689169.071992584,831910880.7691573,4053.4268240517936
13.453453453453452,145145487.43852088,21528468.28526577,833162955.1653699,4082.2281333660676
13.501501501501501,144069648.299479,21368947.909177132,834405533.1603165,4111.072595021182
13.549549549549548,143001732.75350666,21210599.756091457,835638695.8070313,4139.959876437848
13.597597597597597,141941685.3849376,21053415.75348203,836862519.9215167,4168.88965702851
13.645645645645645,140889450.92024967,20897387.84426994,838077081.7511567,4197.861617814924
13.693693693693692,139844973.68505344,20742507.927811198,839282459.1469233,4226.8754352803435
13.741741741741741,138808198.5906231,20588767.972633157,840478727.9897774,4255.930791718944
13.789789789789788,137779071.56800753,20436160.067706376,841665960.730439,4285.0273795430585
13.837837837837837,136757537.8531407,20284676.21990303,842844232.1578023,4314.164884268123
13.885885885885886,135743543.6407945,20134308.55875333,844013614.259505,4343.343000000069
13.933933933933933,134737033.59960058,19985049.01889635,845174183.4970628,4372.561407138537
13.981981981981981,133737955.99186064,19836889.993889987,846326005.7971513,4401.819818357981
14.030030030030028,132746256.6066957,19689823.56151353,847469154.3419077,4431.117924109339
14.078078078078077,131761882.39368,19543841.951199394,848603699.2702378,4460.455424469828
14.126126126126126,130784780.88475078,19398937.467930105,849729709.1362501,4489.83202447529
14.174174174174173,129814899.75045909,19255102.43382067,850847252.028767,4519.247430537239
14.222222222222221,128852187.11918306,19112329.230141588,851956394.7659986,4548.701353020275
14.270270270270268,127896591.3234145,18970610.266161934,853057203.9187739,4578.193503357026
14.318318318318317,126948060.65412459,18829937.948984552,854149746.8011876,4607.723591254956
14.366366366366366,126006544.04342939,18690304.767379887,855234088.7173985,4637.2913324591855
14.414414414414413,125071990.79098581,18551703.258186407,856310294.065079,4666.896445641245
14.462462462462462,124144350.51497893,18414126.002521627,857378426.5627706,4696.538651786962
14.510510510510509,123223572.91003302,18277565.609523304,858438550.4055625,4726.217671112683
14.558558558558557,122309608.07655452,18142014.73846827,859490728.6928824,4755.933227260508
14.606606606606606,121402406.45933814,18007466.094649184,860535023.7215773,4785.685046516241
14.654654654654653,120501918.81626701,17873912.427282035,861571497.1402259,4815.472857399548
14.702702702702702,119608096.22884734,17741346.53069847,862600210.1459808,4845.296390235573
14.750750750750749,118720890.09453471,17609761.24347728,863621223.341185,4875.155377466982
14.798798798798797,117840252.12213615,17479149.447923977,864634596.6474549,4905.04955384094
14.846846846846846,116966134.33542028,17349504.070479397,865640389.3731394,4934.9786562623
14.894894894894893,116098487.1508191,17220817.81615118,866638663.7796013,4964.942410988943
14.942942942942942,115237268.53129433,17093084.41619033,867629468.886209,4994.94059298298
14.990990990990989,114382427.09927158,16966296.329460442,868612870.2035637,5024.972916715179
15.039039039039038,113533916.78179996,16840446.739312857,869588923.7892594,5055.039131190447
15.087087087087086,112691691.52145104,16715528.833079405,870557685.7024218,5085.13898545926
15.135135135135133,111855705.36674033,16591535.825259546,871519212.0126276,5115.27222888312
15.183183183183182,111025912.42955413,16468460.938957319,872473558.6526828,5145.438611281923
15.231231231231229,110202267.38387643,16346297.486965755,873420780.5922717,5175.637886065345
15.279279279279278,109384724.91271372,16225038.780740762,874360932.7990992,5205.869806671286
15.327327327327327,108573240.34725545,16104678.21541806,875294069.2472986,5236.134130426573
15.375375375375373,107767769.07853386,15985209.19575823,876220243.82073,5266.430615016574
15.423423423423424,106968266.84843554,15866625.177306553,877139509.8671786,5296.759020235016
15.471471471471471,106174689.78968234,15748919.67179155,878051920.1399634,5327.1191082185405
15.51951951951952,105386994.32092915,15632086.235018654,878957526.9831537,5357.510642771809
15.567567567567568,104605137.10326096,15516118.45698675,879856382.3664155,5387.933389162927
15.615615615615615,103829075.13992143,15401009.976700233,880748537.7374305,5418.387114713912
15.663663663663664,103058765.81987567,15286754.48888811,881634043.9646106,5448.871589044825
15.711711711711711,102294166.6417792,15173345.706178775,882512951.8370583,5479.386582263732
15.75975975975976,101535235.50870012,15060777.399486534,883385311.5307527,5509.931866899303
15.807807807807809,100781930.73031153,14949043.398312034,884251172.6045779,5540.507217915195
15.855855855855856,100034210.96004374,14838137.582097879,885110584.1141407,5571.112412298225
15.903903903903904,99292034.9177137,14728053.841292392,885963595.1136897,5601.7472272481
15.951951951951951,98555361.6208674,14618786.1098246,886810254.2374867,5632.411441687286
16.0,97824150.46054372,14510328.37573967,887650609.5627071,5663.104836755485
16.04804804804805,97098361.12424907,14402674.670384109,888484708.7491251,5693.827195306312
16.096096096096097,96377953.5693139,14295819.064410292,889312599.1213173,5724.578301665019
16.144144144144143,95662888.03703696,14189755.669897538,890134327.6250228,5755.357941757117
16.19219219219219,94953125.07011867,14084478.642966438,890949940.7733569,5786.165903266897
16.24024024024024,94248625.50183727,13979982.182155684,891759484.6802055,5817.001975539006
16.28828828828829,93549350.43674414,13876260.52596679,892563005.1152173,5847.865949416079
16.336336336336338,92855261.23223798,13773307.950520573,893360547.5562932,5878.757617083753
16.384384384384383,92166319.56630813,13671118.778173182,894152156.9966087,5909.676772640462
16.43243243243243,91482487.3881271,13569687.371232148,894937878.0853581,5940.623211681872
16.48048048048048,90803726.90519486,13469008.130347723,895717755.1518782,5971.596731217126
16.52852852852853,90130000.57332885,13369075.493247839,896491832.2303362,6002.597129592124
16.576576576576578,89461271.15702578,13269883.942355577,897260152.9160357,6033.624206942097
16.624624624624623,88797501.6957367,13171428.000530759,898022760.4468492,6064.67776493651
16.67267267267267,88138655.50127025,13073702.230740625,898779697.7101675,6095.7576067580885
16.72072072072072,87484696.1557231,12976701.235797044,899531007.2485888,6126.863537085815
16.76876876876877,86835587.50941029,12880419.658093728,900276731.2656069,6157.995362077928
16.816816816816818,86191293.67879581,12784852.179343455,901016911.6313006,6189.152889354916
16.864864864864863,85551779.03487498,12689993.519147195,901751589.8943127,6220.335927943821
16.912912912912912,84917008.1730392,12595838.431297818,902480807.3060327,6251.544288147506
16.96096096096096,84286945.96724868,12502381.710397901,903204604.7892255,6282.777781755561
17.00900900900901,83661557.5479732,12409618.189151445,903923022.956892,6314.036221946297
17.057057057057058,83040808.29655784,12317542.737664983,904636102.1203071,6345.319423255295
17.105105105105103,82424663.84282494,12226150.263144614,905343882.2949239,6376.627201557072
17.153153153153152,81813090.06267595,12135435.709593032,906046403.2062798,6407.95937404675
17.201201201201197,81206053.0756938,12045394.057506584,906743704.2959003,6439.315759221708
17.24924924924925,80603519.24515353,11956020.3239072,907435824.7160985,6470.696176890695
17.297297297297295,80005455.2208797,11867309.568331122,908122803.1272411,6502.1004486707425
17.345345345345343,79411827.93797022,11779256.89219606,908804677.7008152,6533.528397976944
17.393393393393392,78822604.54108907,11691857.415124353,909481486.5266786,6564.979849042743
17.44144144144144,78237752.38429154,11605106.27295422,910153267.618586,6596.454626907429
17.489489489489486,77657239.07317887,11518998.655711886,910820058.5724666,6627.952558199514
17.53753753753754,77081032.45462117,11433529.811897578,911481896.5853919,6659.473471078657
17.585585585585584,76509100.60666582,11348695.017390274,912138818.6224892,6691.017194865326
17.633633633633632,75941411.84418392,11264489.574425697,912790861.3911,6722.583560101116
17.681681681681678,75377934.71793605,11180908.819456652,913438061.3047823,6754.1723986202605
17.72972972972973,74818638.01507959,11097948.11631953,914080454.5015475,6785.783543508259
17.777777777777775,74263490.75514212,11015602.862409024,914718076.8405352,6817.416829106243
17.825825825825824,73712462.16910487,10933868.507086318,915350963.9027536,6849.072090978285
17.873873873873872,73165521.72124697,10852740.527073693,915979150.9977732,6880.74916592314
17.92192192192192,72622639.10423498,10772214.427722424,916602673.1680855,6912.447891953961
17.969969969969966,72083784.23267645,10692285.74936859,917221565.1880325,6944.168108291477
18.01801801801802,71548927.24801993,10612950.05866991,917835861.569024,6975.909655354451
18.066066066066064,71018038.5104075,10534202.958149346,918445596.557851,7007.672374755146
18.114114114114113,70491088.59465455,10456040.086446987,919050804.1416585,7039.456109279134
18.162162162162158,69968048.29469773,10378457.113753952,919651518.0476947,7071.260702890776
18.21021021021021,69448888.61912076,10301449.741532156,920247771.749234,7103.086000708922
18.258258258258255,68933580.78123881,10225013.701338163,920839598.4766911,7134.931848955088
18.306306306306304,68422096.25045334,10149144.76082203,921427031.1592972,7166.798095222843
18.354354354354353,67914406.68265063,10073838.71614828,922010102.5047435,7198.6845881129
18.4024024024024,67410483.94602945,9999091.39556131,922588844.9692504,7230.591177370676
18.45045045045045,66910300.03452288,9924898.645570358,923163290.8608313,7262.517713416844
18.4984984984985,66413827.320665725,9851256.369350668,923733472.0404251,7294.464048710097
18.546546546546548,65921038.13525588,9778160.463595938,924299420.4186411,7326.43003548338
18.594594594594593,65431905.30462639,9705606.898089666,924861167.3227056,7358.415528632143
18.642642642642645,64946401.64245922,9633591.640824186,925418744.0949779,7390.4203829836615
18.69069069069069,64464500.147384815,9562110.687205713,925972181.8604729,7422.444454358623
18.73873873873874,63986174.19658221,9491160.088718314,926521511.299302,7454.487600611034
18.786786786786784,63511397.23293801,9420735.906678293,927066763.0157365,7486.549679945936
18.834834834834837,63040142.92690703,9350834.236117711,927607967.3466456,7518.630551790642
18.882882882882882,62572385.12804839,9281451.198592782,928145154.4182839,7550.730076534645
18.93093093093093,62108097.95197624,9212582.955086555,928678354.0444074,7582.8481159962585
18.97897897897898,61647255.64858477,9144225.686496932,929207595.8834496,7614.984532711297
19.027027027027028,61189832.57255,9076375.589268839,929732909.4737074,7647.1391897738795
19.075075075075073,60735803.41144122,9009028.909170816,930254323.9612563,7679.311952067699
19.123123123123126,60285143.080438584,8942181.92570579,930771868.2255275,7711.502685697753
19.17117117117117,59837826.67419436,8875830.944975523,931285570.9367404,7743.7112577305115
19.21921921921922,59393829.26900366,8809972.270356204,931795460.7919195,7775.937535126248
19.267267267267265,58953126.225254126,8744602.24733082,932301566.154061,7808.1813863713505
19.315315315315317,58515693.11100967,8679717.252161918,932803915.1432996,7840.442681065923
19.363363363363362,58081505.68078048,8615313.688745538,933302535.6622834,7872.721289809116
19.41141141141141,57650539.84506092,8551387.98412481,933797455.4340281,7905.017084032445
19.45945945945946,57222771.69584922,8487936.592248445,934288701.9702045,7937.329936139426
19.50750750750751,56798177.51590687,8424955.995334463,934776302.5596317,7969.659719556263
19.555555555555554,56376733.76964486,8362442.702527918,935260284.2796032,8002.006308681954
19.603603603603606,55958417.09233002,8300393.248315465,935740674.0092604,8034.369578829389
19.65165165165165,55543204.25131972,8238804.186831282,936217498.4776239,8066.749406013691
