Time_hours,Stem_cells,Buffer_cells,Producer_cells,Cumulative_yield
16.28828828828829,210737.7892807196,210085.63219586125,999548173.6512818,7691.129656757941
16.336336336336338,204749.55675982963,204133.58867784406,999561460.2841337,7725.708851587175
16.384384384384383,198931.4683106339,198349.68632647506,999574350.1706209,7760.288499164237
16.43243243243243,193278.69064166074,192729.20233710963,999586855.4049096,7794.868585973994
16.48048048048048,187786.527663292,187267.54504837634,999598987.7027503,7829.449098913015
16.52852852852853,182450.41674378273,181960.25047413917,999610758.4129874,7864.030025277385
16.576576576576578,177265.9247389099,176802.97871705386,999622178.5302969,7898.611352749345
16.624624624624623,172228.74430398326,171791.51058287144,999633258.7066808,7933.193069385156
16.67267267267267,167334.69051862552,166921.74441555835,999644009.2615768,7967.77516360434
16.72072072072072,162579.69726901563,162189.69279473336,999654440.1932336,8002.357624177686
16.76876876876877,157959.81373154023,157591.47931639804,999664561.1897063,8036.94044021566
16.816816816816818,153471.20145839953,153123.3358003552,999674381.6371559,8071.523601159451
16.864864864864863,149110.13112558582,148781.59928508612,999683910.62982,8106.107096770419
16.912912912912912,144872.97946266574,144562.709163174,999693156.9792374,8140.690917120266
16.96096096096096,140756.2257554566,140463.20403478938,999702129.2255075,8175.275052579235
17.00900900900901,136756.4492939437,136479.71923650074,999710835.6443475,8209.859493808448
17.057057057057058,132870.32655566128,132608.98420205698,999719284.2554488,8244.44423175098
17.105105105105103,129094.62829661829,128847.81977537852,999727482.831349,8279.029257622455
17.153153153153152,125426.2170468267,125193.13579278071,999735438.9044281,8313.614562903458
17.201201201201197,121862.04481786376,121641.92881121402,999743159.7729543,8348.200139332906
17.24924924924925,118399.14993637645,118191.27935023676,999750652.5116804,8382.785978897024
17.297297297297295,115034.65476157336,114838.34966993866,999757923.9780785,8417.372073822531
17.345345345345343,111765.7632738738,111580.3814958655,999764980.819351,8451.958416569149
17.393393393393392,108589.75922103121,108414.69410120774,999771829.4767914,8486.544999824648
17.44144144144144,105504.00348230576,105338.68193486187,999778476.1941216,8521.131816496078
17.489489489489486,102505.93179591067,102349.81248826145,999784927.0241368,8555.718859702629
17.53753753753754,99593.05270581816,99445.62431348073,999791187.8343704,8590.306122769498
17.585585585585584,96762.94554481354,96623.72509103623,999797264.3126986,8624.893599221776
17.633633633633632,94013.25852502175,93881.78978759887,999803161.9725285,8659.481282778825
17.681681681681678,91341.70659221237,91217.55865207838,999808886.1591847,8694.06916734742
17.72972972972973,88746.06958595278,88628.835446724,999814442.0549434,8728.6572470163
17.777777777777775,86224.19039228457,86113.48568066915,999819834.6841762,8763.245516050558
17.825825825825824,83773.97325466643,83669.43491088503,999825068.9176658,8797.833968886885
17.873873873873872,81393.38195355685,81294.66705183187,999830149.4778882,8832.422600127868
17.92192192192192,79080.43809582852,78987.22274174428,999835080.94376,8867.011404536857
17.969969969969966,76833.21948896947,76745.19775928695,999839867.7550055,8901.60037703317
18.01801801801802,74649.85855535827,74566.74150248947,999844514.2164773,8936.189512687386
18.066066066066064,72528.54080335895,72450.0555287134,999849024.5023146,8970.778806716804
18.114114114114113,70467.50327419648,70393.39203228253,999853402.6601293,9005.368254480863
18.162162162162158,68465.0330868169,68395.05244886156,999857652.6149393,9039.957851476836
18.21021021021021,66519.46601104355,66453.38607763138,999861778.1730026,9074.547593335647
18.258258258258255,64629.185145008385,64566.788782641146,999865783.025204,9109.137475818095
18.306306306306304,62792.61952381581,62733.70166057731,999869670.7508708,9143.727494810715
18.354354354354353,61008.2427989666,60952.60976589926,999873444.8213092,9178.317646321884
18.4024024024024,59274.571977776264,59222.0408860503,999877108.6031125,9212.907926478194
18.45045045045045,57590.16621114987,57540.56435000792,999880665.3612989,9247.498331520963
18.4984984984985,55953.625634145516,55906.789875125294,999884118.2622548,9282.088857802975
18.546546546546548,54363.590123275346,54319.36640631457,999887470.3771732,9316.679501784745
18.594594594594593,52818.738188244395,52776.98101923971,999890724.6848776,9351.270260031364
18.642642642642645,51317.7858673094,51278.35784330598,999893884.0746963,9385.861129209346
18.69069069069069,49859.48568726926,49822.25704666531,999896951.3491086,9420.452106083667
18.73873873873874,48442.62569479226,48407.473888784516,999899929.2261335,9455.043187515099
18.786786786786784,47066.028327845896,47032.8376239437,999902820.3424203,9489.634370456828
18.834834834834837,45728.54947388388,45697.21058062704,999905627.2556012,9524.22565195185
18.882882882882882,44429.077516419835,44399.48723097297,999908352.4467283,9558.817029130236
18.93093093093093,43166.53242680245,43138.59329688847,999910998.3225526,9593.408499206616
18.97897897897898,41939.86491899518,41913.48490498476,999913567.2175624,9628.000059477847
19.027027027027028,40748.05548982693,40723.14767503978,999916061.3965783,9662.591707320213
19.075075075075073,39590.113594879644,39566.59590386128,999918483.0567801,9697.183440187115
19.123123123123126,38465.07682257584,38442.871755240114,999920834.329783,9731.77525560678
19.17117117117117,37372.0101072552,37351.04448474208,999923117.2835882,9766.36715118006
19.21921921921922,36310.00500920219,36290.20972048453,999925333.9242954,9800.9591245785
19.267267267267265,35278.17887170699,35259.48865287912,999927486.1983299,9835.55117354188
