Time_hours,DOL_total_cells,DOL_stem_cells,DOL_buffer_cells,DOL_producer_cells,DOL_yield,Mono_cells,Mono_yield
3.123123123123123,211578500.8803987,137099550.4574251,16666687.20486768,57812263.21810593,32.01426805076084,80888488.17468867,51.45053780966218
3.171171171171171,219887441.33137453,141768215.1575881,17262891.38897845,60856334.784807965,34.066572441542725,83399334.17356616,53.34489357470456
3.219219219219219,228422938.49077207,146529726.74978048,17873283.186476886,64019928.5545147,36.22624681876482,85980828.0284048,55.297968928912034
3.267267267267267,237183664.44230205,151381028.26726457,18497653.342538614,67304982.83249886,38.49746005985292,88634501.18907776,57.31141087807646
3.315315315315315,246167675.95334268,156318675.89236784,19135745.89482062,70713254.1661542,40.884444954018406,91361889.39244547,59.38690166877541
3.363363363363363,255372389.69217283,161338832.73422626,19787256.402685452,74246300.5552611,43.391491699049794,94164531.1580697,61.52615917599339
3.4114114114114114,264794563.711981,166437267.1608545,20451830.61810309,77905465.93302344,46.02294071971334,97043965.45472482,63.730936863547356
3.459459459459459,274430278.8416883,171609351.67662653,21129063.160259854,81691864.00480187,48.78317500485064,100001728.86634701,66.00302342577787
3.507507507507507,284274926.9493487,176850066.48551214,21818496.677583374,85606363.78625315,51.67661187805135,103039353.49220051,68.34424296660598
3.5555555555555554,294323199.8066853,182154004.05258566,22519621.049122173,89649574.70497748,54.70769426729282,106158364.52965856,70.756455008792
3.603603603603603,304569085.409586,187515378.43447027,23231873.12980285,93821833.8453129,57.88088152934636,109360277.38945648,73.2415542108838
3.6516516516516515,315005865.7811665,192928036.12802953,23954636.60083322,98123193.05230378,61.200639755047064,112646594.34490333,75.80146970653563
3.6996996996996994,325626122.40335584,198385471.49004588,24687242.382856797,102553408.53045318,64.67143177779491,116018802.00016043,78.43816526247853
3.747747747747747,336421744.06199443,203880844.14384714,25428969.229970064,107111930.68817723,68.29770669440639,119478368.04714598,81.15363886249787
3.7957957957957955,347383942.1137067,209407000.5353684,26179044.885478973,111797896.69285935,72.08388923432385,123026737.7887723,83.94992205976553
3.8438438438438434,358503268.9876113,214956497.8236346,26936647.471644316,116610123.69233239,76.03436870333007,126665330.45589599,86.82907914175074
3.891891891891892,369769643.78037834,220521631.33066362,27700907.434898943,121547105.01481576,80.15348797285489,130395535.890321,89.79320703964234
3.93993993993994,381172381.4668563,226094464.6519358,28470909.75733303,126607007.05758747,84.44553198993864,134218710.65705502,92.84443449841079
3.987987987987988,392700228.2923564,231666861.9125172,29245696.695992514,131787669.68384668,88.91471677820707,138136174.1004337,95.98492092843543
4.036036036036036,404341402.86956227,237230523.81348923,30024270.926140796,137086608.12993225,93.56517798782164,142149204.27279997,99.21685557862041
4.084084084084084,416083638.4602109,242777023.60732868,30805598.80093179,142501016.05195045,98.40095967245196,146259033.72626284,102.54245687531649
4.132132132132132,427914234.79546165,248297847.3932444,31588614.38950469,148027773.0127126,103.42600339762446,150466845.17327136,105.96397122066867
4.18018018018018,439820109.098742,253784433.5662606,32372223.48966481,153663452.04281655,108.64413741863525,154773767.3965367,109.48367135967848
4.228228228228228,451787853.9691609,259228214.93726373,33155308.194705933,159404330.83719125,114.05906628682318,159180870.38145518,113.10385546936206
4.276276276276276,463803796.6449874,264620660.64282513,33936731.63066752,165246404.37149477,119.6743608585349,163689160.56385142,116.82684584155014
4.324324324324324,475854061.03705263,269953318.40365475,34715342.96325729,171185399.67014053,125.4934487673625,168299576.26092982,120.65498725446834
4.3723723723723715,487924632.3183433,275217856.9684442,35489982.59322156,177216792.75667754,131.51960543301618,173012983.62133107,124.59064498725664
4.420420420420419,500001421.34624106,280406107.21638006,36259487.34719427,183335826.78266674,137.75594567295323,177830170.71422726,128.63620357114993
4.468468468468468,512070331.58867645,285510102.9480033,37022696.02205297,189537532.61862016,144.20541603117707,182751842.6873283,132.79406487541232
4.516516516516516,524117323.9472812,290522119.3934563,37778454.80845202,195816749.7453729,150.87078774000767,187778617.49364874,137.06664599385996
4.564564564564564,536128482.74488735,295434710.38910425,38525622.793524705,202168149.56225845,157.75465058045444,192911021.51312438,141.45637704262052
4.612612612612613,548090078.981355,300240743.12851787,39263077.31592843,208586258.53690857,164.85940735841422,198149483.02674776,145.96569929754259
4.660660660660661,559988632.3719735,304933430.01479363,39989719.31664101,215065483.0405389,172.18726944126462,203494327.61202395,150.59706279859753
4.708708708708709,571810970.6450528,309506358.2629065,40704478.28901639,221600134.0931299,179.74025293259805,208945774.9824152,155.35292380480212
4.756756756756757,583544285.7332776,313953515.93621594,41406317.28057825,228184452.51648337,187.5201758030665,214503933.3114904,160.23574232871533
4.804804804804805,595176186.4525254,318269314.356635,42094237.66499294,234812634.43089747,195.52865600388031,220168793.39473525,165.24797956983525
4.852852852852853,606694747.1258974,322448607.7904963,42767283.23459196,241478856.10080916,203.76711024771285,225940224.53344077,170.39209513621086
4.9009009009009015,618088551.9060293,326486708.8430996,43424544.40020446,248177298.6627253,212.23675380792093,231817972.74665624,175.67054424306065
4.948948948948949,629346734.4119327,330379400.58833015,44065161.74232119,254902172.0812813,220.93860108475837,237801653.73627928,181.08577470793793
4.996996996996997,640459012.4879787,334122944.94192404,44688329.230825536,261647738.31522915,229.87346700732394,243890748.59949708,186.64022388233994
5.045045045045045,651415717.9175289,337714087.4017515,45293297.08139342,268408333.43438396,239.04196922183235,250084600.9689827,192.33631558721282
5.093093093093093,662207820.93786,341150058.2563679,45879374.10073936,275178388.58075273,248.4445310397917,256382415.9893418,198.17645712906761
5.141141141141142,672826950.0555991,344428570.7580176,46445929.62698129,281952449.6706002,258.08138500979817,262783252.9757997,204.163035610749
5.1891891891891895,683265406.1080537,347547815.5709356,46992395.00984748,288725195.5272706,267.95257725411864,269286023.05398107,210.29841459158678
5.237237237237237,693516171.5684249,350506452.40999556,47518264.6259595,295491454.53246987,278.0579723679726,275889488.6893371,216.58493100672848
5.285285285285285,703572915.2025571,353303599.02238524,48023096.46670036,302246219.71347153,288.39725884100665,282592261.87456757,223.02489174627124
5.333333333333333,713429991.9688773,355938817.53596133,48506512.29162426,308984662.14129174,298.96995499186613,289392798.8807113,229.62056953983375
5.381381381381382,723082437.8327255,358412098.1761229,48968197.299392805,315702142.3572098,309.77541540346334,296289399.6524496,236.37419949814105
5.42942942942943,732525963.9278535,360723842.7290278,49407899.72823668,322394221.470589,320.812837404223,303280210.14734375,243.28797633930475
5.4774774774774775,741756940.3290918,362874842.9617769,49825429.44533027,329056667.9219847,332.0812685141948,310363219.3159239,250.36405014602627
